Title,Year,Abstract
The effect of synthesis temperature on the plate-like particle of Bi4Ti3O12 obtained by molten nacl salt method,2021,"Three-layer Aurivillius compound bismuth titanate (Bi4Ti3O12) is well known for having
interesting properties such as ferroelectric and photocatalyst. Many researchers reported that the …"
The Implementation of E-Government to Improve Public Service (The Development Website ub. ac. id in Brawijaya University).,2013,"… Pemerintah Elektronik di Universitas Brawijaya yang dapat … layanan publik di Universitas
Brawijaya. Berdasarkan hasil … dan kurangnya otoritas dari Universitas Brawijaya dan PPTI. …"
[PDF] ICT usages in Yogyakarta's tourist villages development,2020,"Developmental gap between tourist villages occurs due to differences in tourist attractions,
existing facilities, and also the use of Information, Communication, and Technology (ICT). …"
"Improving service quality of public housing (case study of Rusunawa implementation program in Kudus, Central Java, Indonesia)",2013,"Perkembangan perumahan dan pemukiman masih dihadapi dengan tiga masalah utama
adalah persediaan rumah yang terbatas, meningkatkan jumlah rumah tangga rumah yang …"
"Sustainability of Family Business: Millennials Intention To Stay in the Family Business As the Result of Stewardship Climate, Mediated By Successor'S Trust and …",2021,"This research studies the influence of stewardship on the intention to stay in the family
business. Successor’s trust and socioemotional wealth are also studied as mediator. The …"
Determinants of financing decisions for micro enterprises in Malang City in 2022-2023 moderated by Islamic financial literacy,2024,"Purpose This study aims to analyze the Determinants of Financing Decisions in Micro
Enterprises in Malang City Moderated by Sharia Financial Literacy Design/methodology/approach …"
[PDF] Analysis of factors contributing to the dispersal of Casuarina junghuhniana Miq. in a volcanic mountain,2020,"Casuarina junghuhniana or mountain ru, she oak or cemara is a species from Indonesia
which grows in the highland area at an altitude between 2000-3000 m above sea level (asl). …"
[PDF] Preparation and characterization of poly-(methacrylatoethyl trimethylammonium chloride-co-vinylbenzyl chloride-co-ethylene dimethacrylate) monolith,2015,"A polymer monolithic column, poly-(methacrylatoethyltrimethylammonium chloride-covinylbenzyl
chloride-co-ethylene dimethacrylate) or poly-(MATE-co-VBC-co-EDMA) was …"
"[PDF] Checklist of flora along tourist trails to Mt. Lamongan, East Java (Indonesia): misconception of restoration and ecotourism programs in mountain region?",2018,"The aim of this research was to evaluate the diversity of plant species along the tourist trails
to Mt. Lamongan and combat any misconceptions about ecosystem restoration and the …"
[PDF] Yield of Jatropha curcas L. accessions of West Nusa Tenggara during five a year production cycle on a degraded agricultural land,2014,"Competition between food crops and bioenergy crops in using agricultural lands should be
avoided. Bioenergy crops such as Jatropha, should be grown on underutilized or degraded …"
"[PDF] Developing Marine and Coastal-based Sport Tourism on the Waterfront: The Case of Manado Waterfront, Indonesia",2016,"There are many marine-based sports that have become universally popular as tourist
attraction on waterfronts. This study aimed to examine the existence of marine and coastal-based …"
"[PDF] Action plan in developing sea turtle conservation as ecotourism attraction in Sukamade, Meru Betiri National Park",2016,"Sukamade Coastal Area located in Meru Betiri National Park has particular object as
ecotourism attraction, ie Sea Turtle. On the other hand, national park management use the cross …"
[PDF] The contribution of organic acid on heterotrophic CO2 flux from tropical peat: a trenching study,2021,"Quantification of CO2 flux from peat has been studied with various methods of measurement
and data analysis. Several studies have applied regression analysis to assess carbon flux …"
"[PDF] Soil properties of agricultural area in karst terrain of Parakan, Pangandaran, West Java, Indonesia",2021,"Article history: Received 29 February 2021 Accepted 23 March 2021 Published 1 April 2021
Karst terrain in the mountainous of Pangandaran associates with terra rossa, a clayed soil …"
[PDF] Analysis of coastal vulnerability of Rangsang Island due to climate changes,2019,"Rangsang Island is home to more than 48,000 residents. Climate change has been a critical
issue to the Island and threatened the existence of the inhabitants. This study is proposed to …"
"[PDF] The natural and cultural resources for ecotourism development in Trenggalek Regency, East Java",2015,"Ecotourism is all of the activities that is responsible for maintaining the conservation and
environmental education. This activities also involves the local communities to get some benefit. …"
"The acid mine drainage (AMD) impact of tailings and non-tailings on the ecosystem changes in the ModADA sedimentation area, Timika",2020,"Tailings are the parent material residues resulted from a separation process of valuable
minerals containing copper, gold and silver. This separation process is carried out mechanically …"
The effect planting hole size and manure on vegetative growth of golden teak (Tectona grandis L.),2018,"Cultivation of the golden teak (Tectona grandis L.) requires the planting hole size and
appropriate use of manure. The size of planting hole provides plant growth, so that the plant can …"
"Spatial distribution of soil morphology and physicochemical properties to assess land degradation under different NDVI and TRI in North Halmahera, Indonesia",2021,"Land degradation is currently a major environmental problem that can lead to decreasing
biomass productivity. The causes of land degradation have been widely reported. However, …"
the Effect of Experiential Learning on Attitudes and Intention: an Experimental Design,2019,"In this study, we examined the effect of an entrepreneurship program based on experiential
learning on attitudes and intentions. We used a quasi-experimental design. Data were …"
[PDF] Utilization of locally available organic matter to improve chemical properties of pyroclastic materials from Mt. Kelud of East Java,2017,"Pandansari village, Ngantang District was severely affected by Mt. Kelud eruption in 2014.
Almost all soil surfaces were covered by the eruption product, leading to serious problems for …"
[PDF] Growth and survivorship of Vetiveria zizanioides in degraded soil by gold-mining in the Peruvian Amazon,2021,"In the Peruvian Amazon, large area of primary forest have been deforested by Artisanal and
small-scale gold mining (ASGM). Vetiveria zizanioides (Poaceae) is considered an excellent …"
